Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,417,Kyrgyzstan,KGZ,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,400233,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,422,Lebanon,LBN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,8799133,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,428,Latvia,LVA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3061934,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,428,Latvia,LVA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1805299,,,0
S4,2014,2014,2014,1,0,3,Re-Export,498,Rep. of Moldova,MDA,428,Latvia,LVA,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,80317,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,430,Liberia,LBR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,9731,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,434,Libya,LBY,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,170,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,434,Libya,LBY,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,2291175,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,440,Lithuania,LTU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1599716,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,440,Lithuania,LTU,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,3402482,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,442,Luxembourg,LUX,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4557,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,450,Madagascar,MDG,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,20860,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,458,Malaysia,MYS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,168511,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,458,Malaysia,MYS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,4818687,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,462,Maldives,MDV,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,472,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,470,Malta,MLT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,66,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,470,Malta,MLT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,24460,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,478,Mauritania,MRT,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,712264,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,480,Mauritius,MUS,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,48019,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,484,Mexico,MEX,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,695907,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,490,"""Other Asia"," nes""",,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,52533,,,0
S4,2014,2014,2014,1,0,2,Export,498,Rep. of Moldova,MDA,490,"""Other Asia"," nes""",,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1156431,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,504,Morocco,MAR,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,76773,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,512,Oman,OMN,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,1734,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,516,Namibia,NAM,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,7982,,,0
S4,2014,2014,2014,1,0,1,Import,498,Rep. of Moldova,MDA,528,Netherlands,NLD,,,,,,,,0,Food and live animals,1,No Quantity,,,,,,,10728633,,,0
